question_id,question,target_doc,topic,expected_answer_hint
Q01,"Under the corporate information security policy, what reporting and verification steps must general employees follow when they suspect a security concern?",A01_information_security_policy.txt,Information Security,"submit incident report via security portal; security team reviews, verifies scope/impact, confirms within 1-2 business days"
Q02,How are the request and approval procedures handled under the company password and MFA policy when registering or resetting an authentication device?,A02_password_and_mfa_policy.txt,Information Security,request via identity portal; IT admin reviews/approves within 1-2 business days; bypass codes need manager confirmation
Q03,Please summarize the approval criteria and review procedure under the corporate data export and loss prevention policy.,A03_data_export_dlp_policy.txt,Information Security,classification-based approval matrix; submit export request with justification; dept reviews/approves; bulk >10k needs security review
Q04,"Under the document classification policy, how do the review and approval criteria for assigning or changing classification levels work?",A04_document_classification_policy.txt,Information Security,four levels; owner submits review request; dept reviews/approves; downgrades need security approval
Q05,"Under the external storage media usage procedure, what application and approval steps must employees follow before using a USB device?",A05_external_storage_media_procedure.txt,Information Security,USB ports disabled by default; submit request with device/business need; dept approves; device must be registered and encrypted
Q06,What activities are prohibited and how is misuse reported under the company acceptable use policy?,A06_acceptable_use_policy.txt,Information Security,no unlicensed software/disabling agents/illegal content; BYOD enrollment required; report misuse via internal system
Q07,"Under the encryption and key management standard, how is the key lifecycle managed and how are key operations approved?",A07_encryption_key_management_standard.txt,Information Security,"AES-256 at rest, TLS 1.2+ in transit; HSM-managed keys; annual DEK rotation; dual control; key export needs security approval"
Q08,What request and approval criteria should general employees follow under the generative AI usage policy before adopting a new AI tool?,A08_generative_ai_usage_policy.txt,Information Security,submit request; dept reviews/approves after security & privacy assessment; no confidential data in public services
Q09,"Under the email security and anti-phishing guidelines, what reporting and verification steps must employees follow for a suspicious email?",A09_email_security_antiphishing_guidelines.txt,Information Security,use Report Phishing button; security reviews/confirms within 1-2 days; verify bank/credential requests via second channel
Q10,"In the remote access and VPN policy, how are authentication and connection authorization procedures handled?",A10_remote_access_vpn_policy.txt,Information Security,compliant device posture + MFA per session; submit request; dept approves; events logged; 30-min idle timeout
Q11,"Under the new account provisioning manual, how are the request, verification, and issuance steps handled for a new hire?",C11_new_account_provisioning_manual.txt,Identity and Access,manager submits request with role/team/start date; dept reviews/approves; identity verified; least-privilege baseline; MFA at first login
Q12,"How do the request, review, and approval steps proceed under the access request and approval procedure?",C12_access_request_approval_procedure.txt,Identity and Access,submit request with entitlement/reason; resource owner approves; high-risk needs security approval; SoD checks; time-bound access
Q13,"Under the privileged access management procedure, how is just-in-time elevation requested and how are privileged sessions controlled?",C13_privileged_access_management_procedure.txt,Identity and Access,JIT elevation request reviewed/approved; PAM-brokered sessions with recording; vaulted credentials rotated after use
Q14,"Under the access review procedure, how are the request, review, and approval steps for permission recertification handled?",C14_access_review_recertification_procedure.txt,Identity and Access,semi-annual/quarterly recertification; managers attest entitlements; dept approves changes; revoke removed access promptly
Q15,"Under the single sign-on onboarding guide, how does an application owner request and complete an SSO integration?",C15_sso_onboarding_guide.txt,Identity and Access,use SAML/OIDC; submit onboarding request with metadata/attributes; identity team approves and maps attributes; test before go-live
Q16,"Under the annual leave and remote work application rules, how does the process proceed from application submission to approval?",B16_annual_leave_remote_work_rules.txt,HR and Operations,"submit request with dates/backup contact; manager reviews/approves within 1-2 business days; remote up to 3 days/week, core hours 10-16"
Q17,"How do the request, settlement, and approval procedures work under the business travel and corporate card policy?",B17_business_travel_corporate_card_policy.txt,HR and Operations,department-head pre-approval; card for business only; submit settlement with receipts within 5 days; dept reviews/approves
Q18,What request and verification steps must employees follow under the company equipment issuance and return procedure?,B18_equipment_issuance_return_procedure.txt,HR and Operations,issued via IT Asset Management with asset tag; submit request; dept approves; report loss immediately; return/wipe on departure
Q19,"Where and how do employees apply for welfare points, and how are claims approved?",B19_welfare_points_application_procedure.txt,HR and Operations,apply via benefits portal selecting category + proof of payment; dept reviews/approves within 1-2 days; no cash withdrawal
Q20,"Under the external training application procedure, what submission and approval steps must employees follow?",B20_external_training_application_procedure.txt,HR and Operations,apply >=2 weeks ahead with cost/outcomes; budget pre-approval; dept reviews/approves; submit proof for reimbursement
