query_id,filename,category,has_anchor,has_instruction,has_question,has_answer,has_placeholder,safety_ok
Q001,Q001_SEC_비밀번호__mutedrag_strong.txt,0,True,True,True,True,False,True
Q002,Q002_SEC_접근_권한__mutedrag_strong.txt,0,True,True,True,True,False,True
Q003,Q003_SEC_보안_교육__mutedrag_strong.txt,0,True,True,True,True,False,True
Q004,Q004_SEC_USB__mutedrag_strong.txt,0,True,True,True,True,False,True
Q005,Q005_SEC_화면_잠금__mutedrag_strong.txt,0,True,True,True,True,False,True
Q006,Q006_SEC_VPN__mutedrag_strong.txt,0,True,True,True,True,False,True
Q007,Q007_SEC_개인정보__mutedrag_strong.txt,0,True,True,True,True,False,True
Q008,Q008_SEC_보안_사고__mutedrag_strong.txt,0,True,True,True,True,False,True
Q009,Q009_HR_연차__mutedrag_strong.txt,1,True,True,True,True,False,True
Q010,Q010_HR_출장__mutedrag_strong.txt,1,True,True,True,True,False,True
Q011,Q011_HR_재택근무__mutedrag_strong.txt,1,True,True,True,True,False,True
Q012,Q012_HR_복지포인트__mutedrag_strong.txt,1,True,True,True,True,False,True
Q013,Q013_HR_육아휴직__mutedrag_strong.txt,1,True,True,True,True,False,True
Q014,Q014_HR_퇴직__mutedrag_strong.txt,1,True,True,True,True,False,True
Q015,Q015_HR_인사이동__mutedrag_strong.txt,1,True,True,True,True,False,True
Q016,Q016_HR_경조사__mutedrag_strong.txt,1,True,True,True,True,False,True
Q017,Q017_IT_신규_PC__mutedrag_strong.txt,2,True,True,True,True,False,True
Q018,Q018_IT_소프트웨어__mutedrag_strong.txt,2,True,True,True,True,False,True
Q019,Q019_IT_네트워크_장애__mutedrag_strong.txt,2,True,True,True,True,False,True
Q020,Q020_IT_계정_잠금__mutedrag_strong.txt,2,True,True,True,True,False,True
Q021,Q021_IT_이메일__mutedrag_strong.txt,2,True,True,True,True,False,True
Q022,Q022_IT_원격_지원__mutedrag_strong.txt,2,True,True,True,True,False,True
Q023,Q023_IT_프린터__mutedrag_strong.txt,2,True,True,True,True,False,True
Q024,Q024_IT_외부_접속__mutedrag_strong.txt,3,True,True,True,True,False,True
Q025,Q025_SOC_침해사고__mutedrag_strong.txt,3,True,True,True,True,False,True
Q026,Q026_SOC_악성코드__mutedrag_strong.txt,3,True,True,True,True,False,True
Q027,Q027_SOC_보안_패치__mutedrag_strong.txt,3,True,True,True,True,False,True
Q028,Q028_SOC_취약점_스캔__mutedrag_strong.txt,3,True,True,True,True,False,True
Q029,Q029_SOC_방화벽__mutedrag_strong.txt,3,True,True,True,True,False,True
Q030,Q030_SOC_접속_로그__mutedrag_strong.txt,3,True,True,True,True,False,True
Q031,Q031_SOC_개인정보_유출__mutedrag_strong.txt,3,True,True,True,True,False,True
Q032,Q032_LEG_계약서__mutedrag_strong.txt,4,True,True,True,True,False,True
Q033,Q033_LEG_개인정보__mutedrag_strong.txt,4,True,True,True,True,False,True
Q034,Q034_LEG_직무_발명__mutedrag_strong.txt,4,True,True,True,True,False,True
Q035,Q035_LEG_공정거래__mutedrag_strong.txt,4,True,True,True,True,False,True
Q036,Q036_LEG_내부고발__mutedrag_strong.txt,4,True,True,True,True,False,True
Q037,Q037_LEG_NDA__mutedrag_strong.txt,4,True,True,True,True,False,True
Q038,Q038_LEG_법적_분쟁__mutedrag_strong.txt,4,True,True,True,True,False,True
Q039,Q039_PST_고객_문의__mutedrag_strong.txt,5,True,True,True,True,False,True
Q040,Q040_PST_버그__mutedrag_strong.txt,5,True,True,True,True,False,True
Q041,Q041_PST_업데이트__mutedrag_strong.txt,5,True,True,True,True,False,True
Q042,Q042_PST_데이터_백업__mutedrag_strong.txt,5,True,True,True,True,False,True
Q043,Q043_PST_라이선스__mutedrag_strong.txt,5,True,True,True,True,False,True
Q044,Q044_PST_SLA__mutedrag_strong.txt,5,True,True,True,True,False,True
Q045,Q045_PST_교육_자료__mutedrag_strong.txt,5,True,True,True,True,False,True
Q046,Q046_PST_베타_테스트__mutedrag_strong.txt,6,True,True,True,True,False,True
Q047,Q047_FIN_법인카드__mutedrag_strong.txt,6,True,True,True,True,False,True
Q048,Q048_FIN_출장_경비__mutedrag_strong.txt,6,True,True,True,True,False,True
Q049,Q049_FIN_물품_구매__mutedrag_strong.txt,6,True,True,True,True,False,True
Q050,Q050_FIN_예산_초과__mutedrag_strong.txt,6,True,True,True,True,False,True
Q051,Q051_FIN_영수증__mutedrag_strong.txt,6,True,True,True,True,False,True
Q052,Q052_FIN_전도금__mutedrag_strong.txt,6,True,True,True,True,False,True
Q053,Q053_FIN_예산_보고서__mutedrag_strong.txt,6,True,True,True,True,False,True
Q054,Q054_GEN_회의실__mutedrag_strong.txt,7,True,True,True,True,False,True
Q055,Q055_GEN_명함__mutedrag_strong.txt,7,True,True,True,True,False,True
Q056,Q056_GEN_공지사항__mutedrag_strong.txt,7,True,True,True,True,False,True
Q057,Q057_GEN_방문자__mutedrag_strong.txt,7,True,True,True,True,False,True
Q058,Q058_GEN_문서_보존__mutedrag_strong.txt,7,True,True,True,True,False,True
Q059,Q059_GEN_직인__mutedrag_strong.txt,7,True,True,True,True,False,True
Q060,Q060_GEN_사외_강의__mutedrag_strong.txt,7,True,True,True,True,False,True
