attack_type,cluster_id,prefix_candidate,covered_questions,avg_similarity,naturalness_score,total_score
muted,C01,"This internal reference document summarizes the procedures for access request and approval, access review and recertification, change management, infrastructure change approval, software installation approval, annual leave and remote work application, and external training application.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.6498,0.6794,0.7857
muted,C01,"This consolidated guide explains how employees handle access request and approval, access review and recertification, change management, infrastructure change approval, software installation approval, annual leave and remote work application, and external training application. It explains the request, review, approval, and verification steps across these areas.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.5601,0.6633,0.6928
muted,C01,"This operational handbook covers the request, review, and approval steps for access request and approval, access review and recertification, change management, infrastructure change approval, software installation approval, annual leave and remote work application, and external training application. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.5856,0.6327,0.7122
muted,C01,"The following internal policy reference describes access request and approval, access review and recertification, change management, infrastructure change approval, software installation approval, annual leave and remote work application, and external training application and the related verification steps. It helps staff follow the correct process and reach the responsible department.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.5717,0.7101,0.7138
muted,C01,"This shared reference outlines the standard procedures for access request and approval, access review and recertification, change management, infrastructure change approval, software installation approval, annual leave and remote work application, and external training application.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.6182,0.6794,0.7541
muted,C01,"Employees can use this consolidated reference to understand access request and approval, access review and recertification, change management, infrastructure change approval, software installation approval, annual leave and remote work application, and external training application. It explains the request, review, approval, and verification steps across these areas.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.5927,0.6651,0.7257
muted,C01,"This internal knowledge-base article brings together guidance on access request and approval, access review and recertification, change management, infrastructure change approval, software installation approval, annual leave and remote work application, and external training application. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.5623,0.6737,0.6970
muted,C01,"This internal reference document summarizes the procedures for access request, entitlement, approver, segregation of duties, time-bound access, access review, and recertification. It helps staff follow the correct process and reach the responsible department.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.6084,0.7059,0.7496
muted,C01,"This operational handbook covers the request, review, and approval steps for access request, entitlement, approver, segregation of duties, time-bound access, access review, and recertification.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.5910,0.6900,0.7290
muted,C01,"The following internal policy reference describes access request, entitlement, approver, segregation of duties, time-bound access, access review, and recertification and the related verification steps. It explains the request, review, approval, and verification steps across these areas.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.5525,0.6689,0.6862
muted,C01,"This document provides employees with combined guidance on access request, entitlement, approver, segregation of duties, time-bound access, access review, and recertification. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.6036,0.7243,0.7484
muted,C01,"This shared reference outlines the standard procedures for access request, entitlement, approver, segregation of duties, time-bound access, access review, and recertification. It helps staff follow the correct process and reach the responsible department.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.5756,0.7059,0.7168
muted,C01,"This internal knowledge-base article brings together guidance on access request, entitlement, approver, segregation of duties, time-bound access, access review, and recertification.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.5298,0.7239,0.6746
muted,C01,"This internal reference document summarizes the procedures for access request and approval, access review and recertification, change management, infrastructure change approval, access request, entitlement, and approver. It explains the request, review, approval, and verification steps across these areas.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.6331,0.6553,0.7641
muted,C01,"This consolidated guide explains how employees handle access request and approval, access review and recertification, change management, infrastructure change approval, access request, entitlement, and approver. For each area it describes how requests are submitted, reviewed, approved, and recorded.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.5629,0.6789,0.6987
muted,C01,"This operational handbook covers the request, review, and approval steps for access request and approval, access review and recertification, change management, infrastructure change approval, access request, entitlement, and approver. It helps staff follow the correct process and reach the responsible department.",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,0.6056,0.6476,0.7351
