cluster_id,representative_question_id,representative_question,member_question_ids,member_questions,target_docs,topic_keywords
C01,Q12,"How do the request, review, and approval steps proceed under the access request and approval procedure?",Q12|Q14|Q28|Q30|Q26|Q16|Q20|Q25|Q17|Q23|Q19,"How do the request, review, and approval steps proceed under the access request and approval procedure?|Under the access review procedure, how are the request, review, and approval steps for permission recertification handled?|How do the request, assessment, and approval stages proceed under the change management procedure?|How do the request, review, and approval stages proceed under the infrastructure change approval procedure?|Under the software installation approval procedure, how do the request, review, and approval steps proceed?|Under the annual leave and remote work application rules, how does the process proceed from application submission to approval?|Under the external training application procedure, what submission and approval steps must employees follow?|Under the internal transfer and promotion procedure, how are applications reviewed and approved?|How do the request, settlement, and approval procedures work under the business travel and corporate card policy?|How are claims submitted and approved under the expense reimbursement procedure?|Where and how do employees apply for welfare points, and how are claims approved?",C12_access_request_approval_procedure.txt|C14_access_review_recertification_procedure.txt|D28_change_management_procedure.txt|D30_infrastructure_change_approval_procedure.txt|D26_software_installation_approval_procedure.txt|B16_annual_leave_remote_work_rules.txt|B20_external_training_application_procedure.txt|B25_internal_transfer_promotion_procedure.txt|B17_business_travel_corporate_card_policy.txt|B23_expense_reimbursement_procedure.txt|B19_welfare_points_application_procedure.txt,"access request, entitlement, approver, segregation of duties, time-bound access, access review, recertification, attestation, manager review, revocation, audit, change management"
C02,Q37,"Under the security incident response procedure, what reporting and verification steps must employees follow?",Q01|Q37|Q09|Q40|Q38|Q42|Q44,"Under the corporate information security policy, what reporting and verification steps must general employees follow when they suspect a security concern?|Under the security incident response procedure, what reporting and verification steps must employees follow?|Under the email security and anti-phishing guidelines, what reporting and verification steps must employees follow for a suspicious email?|Under the malicious email response manual, what reporting and verification steps must employees follow?|Under the vulnerability reporting procedure, how do the submission, review, and approval steps proceed?|Under the data breach notification procedure, how is a suspected breach assessed and how are notifications approved?|Under the third-party vendor security assessment procedure, how are vendors assessed and approved before data sharing?",A01_information_security_policy.txt|E37_security_incident_response_procedure.txt|A09_email_security_antiphishing_guidelines.txt|E40_malicious_email_response_manual.txt|E38_vulnerability_reporting_procedure.txt|E42_data_breach_notification_procedure.txt|E44_vendor_security_assessment_procedure.txt,"information security policy, reporting, verification, classification, employee responsibilities, security incident, containment, evidence, eradication, recovery, notification, phishing"
C03,Q27,"Under the production deployment approval procedure, how are review items and approval criteria defined?",Q03|Q27|Q04|Q24|Q50,"Please summarize the approval criteria and review procedure under the corporate data export and loss prevention policy.|Under the production deployment approval procedure, how are review items and approval criteria defined?|Under the document classification policy, how do the review and approval criteria for assigning or changing classification levels work?|How does the performance review process proceed from self-assessment through calibration and final ratings?|Under the service level agreement reference, how are priority levels and SLA performance measured and approved?",A03_data_export_dlp_policy.txt|D27_production_deployment_approval_procedure.txt|A04_document_classification_policy.txt|B24_performance_review_process.txt|F50_service_level_agreement_reference.txt,"data export, DLP, classification tiers, approval matrix, encryption, transfer, deployment, release, change window, rollback, approval gates, CI/CD"
C04,Q47,How are the processing procedure and verification steps defined in the customer support handling procedure?,Q18|Q46|Q47|Q48|Q29,"What request and verification steps must employees follow under the company equipment issuance and return procedure?|In the customer inquiry FAQ, what processing procedures and verification items should employees follow when responding to customers?|How are the processing procedure and verification steps defined in the customer support handling procedure?|Under the product feature guide, what verification steps must support staff follow when assisting customers with configuration?|Under the server inspection checklist, how are verification items checked and how are findings approved?",B18_equipment_issuance_return_procedure.txt|F46_customer_inquiry_faq.txt|F47_customer_support_handling_procedure.txt|F48_product_feature_guide.txt|D29_server_inspection_checklist.txt,"equipment, asset tag, issuance, return, loss reporting, IT asset management, customer inquiry, FAQ, identity verification, response approval, escalation, support ticket"
C05,Q32,"Under the network access control standard, how are devices authenticated and how are cross-zone access requests approved?",Q02|Q32|Q10,"How are the request and approval procedures handled under the company password and MFA policy when registering or resetting an authentication device?|Under the network access control standard, how are devices authenticated and how are cross-zone access requests approved?|In the remote access and VPN policy, how are authentication and connection authorization procedures handled?",A02_password_and_mfa_policy.txt|D32_network_access_control_standard.txt|A10_remote_access_vpn_policy.txt,"password, MFA, TOTP, hardware key, rotation, lockout, authentication, network access control, segmentation, NAC, 802.1X, guest network"
C06,Q11,"Under the new account provisioning manual, how are the request, verification, and issuance steps handled for a new hire?",Q11|Q21,"Under the new account provisioning manual, how are the request, verification, and issuance steps handled for a new hire?|What steps does the new hire onboarding checklist cover from before the first day through the probation period?",C11_new_account_provisioning_manual.txt|B21_new_hire_onboarding_checklist.txt,"account provisioning, onboarding, role assignment, verification, deprovisioning, first day, account setup, orientation, buddy, probation"
C07,Q35,"Under the database access and handling standard, how is human access to production databases requested and controlled?",Q35|Q41,"Under the database access and handling standard, how is human access to production databases requested and controlled?|What retention criteria and access controls are defined under the log retention and audit policy?",D35_database_access_handling_standard.txt|E41_log_retention_audit_policy.txt,"database access, query approval, masking, production data, audit logging, log retention, audit, SIEM, tamper protection, retention period, access"
C08,Q36,"Under the incident response runbook, what reporting and escalation steps must on-call engineers follow?",Q36|Q49,"Under the incident response runbook, what reporting and escalation steps must on-call engineers follow?|Under the incident notice template guide, what request and approval steps must staff follow when publishing an outage notification?",E36_incident_response_runbook.txt|F49_incident_notice_template_guide.txt,"incident response, on-call, severity, escalation, triage, post-incident review, incident notice, status page, customer communication, approval, outage notification"
C09,Q05,"Under the external storage media usage procedure, what application and approval steps must employees follow before using a USB device?",Q05,"Under the external storage media usage procedure, what application and approval steps must employees follow before using a USB device?",A05_external_storage_media_procedure.txt,"USB, removable media, encryption, registration, approval, port control"
C10,Q06,What activities are prohibited and how is misuse reported under the company acceptable use policy?,Q06,What activities are prohibited and how is misuse reported under the company acceptable use policy?,A06_acceptable_use_policy.txt,"acceptable use, internet, email, monitoring, prohibited activities, BYOD"
